County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate (%),Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Average HCC Score
Kitsap,530352012,201253035,2012,53035,39236,30954,8282,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.88
Kittitas,530372012,201253037,2012,53037,6212,5835,377,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.78
Klickitat,530392012,201253039,2012,53039,4652,4409,243,0.1,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.72
Lewis,530412012,201253041,2012,53041,16407,11684,4723,0.3,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.88
Lincoln,530432012,201253043,2012,53043,2503,2193,310,0.1,72,0.5,0.5,,,,,0.1,0.78
Mason,530452012,201253045,2012,53045,13461,10421,3040,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Okanogan,530472012,201253047,2012,53047,8640,7504,1136,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.75
Pacific,530492012,201253049,2012,53049,6323,5714,609,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Pend Oreille,530512012,201253051,2012,53051,2868,2306,562,0.2,70,0.5,0.5,,,,,0.2,0.81
Pierce,530532012,201253053,2012,53053,110896,78302,32594,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
San Juan,530552012,201253055,2012,53055,4096,3151,945,0.2,73,0.5,0.5,,,,,0.1,0.67
Skagit,530572012,201253057,2012,53057,22809,14861,7948,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Skamania,530592012,201253059,2012,53059,1774,1499,275,0.2,71,0.5,0.5,,,,,0.2,0.77
Snohomish,530612012,201253061,2012,53061,89633,48032,41601,0.5,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.94
Spokane,530632012,201253063,2012,53063,77745,50992,26753,0.3,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.95
Stevens,530652012,201253065,2012,53065,9630,8058,1572,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Thurston,530672012,201253067,2012,53067,41072,26794,14278,0.3,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.87
Wahkiakum,530692012,201253069,2012,53069,1129,874,255,0.2,72,0.5,0.5,,,,,0.1,0.83
Walla Walla,530712012,201253071,2012,53071,10337,9032,1305,0.1,74,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.94
Whatcom,530732012,201253073,2012,53073,33162,20623,12539,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Whitman,530752012,201253075,2012,53075,4704,4358,346,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.87
Yakima,530772012,201253077,2012,53077,34678,26930,7748,0.2,71,0.5,0.5,0.8,0.0,0.1,0.1,0.3,0.93
STATE TOTAL,.2013,201353000,2013,.,1038239,704882,333357,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012013,201353001,2013,53001,2169,1831,338,0.2,72,0.5,0.5,,,,,0.2,0.89
Asotin,530032013,201353003,2013,53003,5360,4515,845,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.89
Benton,530052013,201353005,2013,53005,26314,22132,4182,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.91
Chelan,530072013,201353007,2013,53007,14072,11411,2661,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.83
Clallam,530092013,201353009,2013,53009,21160,19195,1965,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.79
Clark,530112013,201353011,2013,53011,63736,27885,35851,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.96
Columbia,530132013,201353013,2013,53013,1097,1054,43,0.0,72,0.5,0.5,,,,,0.2,0.84
Cowlitz,530152013,201353015,2013,53015,21577,11420,10157,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.3,0.99
Douglas,530172013,201353017,2013,53017,6423,5292,1131,0.2,72,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.84
Ferry,530192013,201353019,2013,53019,1732,1571,161,0.1,70,0.5,0.5,,,,,0.2,0.74
Franklin,530212013,201353021,2013,53021,7539,6397,1142,0.2,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.92
Garfield,530232013,201353023,2013,53023,,541,,,73,0.5,0.5,,,,,0.1,0.83
Grant,530252013,201353025,2013,53025,13061,11059,2002,0.2,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.84
Grays Harbor,530272013,201353027,2013,53027,15596,14490,1106,0.1,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Island,530292013,201353029,2013,53029,17752,12276,5476,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.80
Jefferson,530312013,201353031,2013,53031,9724,9127,597,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.75
King,530332013,201353033,2013,53033,246752,156927,89825,0.4,73,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.93
Kitsap,530352013,201353035,2013,53035,41158,32029,9129,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Kittitas,530372013,201353037,2013,53037,6416,6035,381,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.76
Klickitat,530392013,201353039,2013,53039,4806,4502,304,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.69
Lewis,530412013,201353041,2013,53041,16892,11795,5097,0.3,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.87
Lincoln,530432013,201353043,2013,53043,2550,2355,195,0.1,72,0.5,0.5,,,,,0.1,0.78
Mason,530452013,201353045,2013,53045,13782,10907,2875,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.83
Okanogan,530472013,201353047,2013,53047,8938,8621,317,0.0,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.76
Pacific,530492013,201353049,2013,53049,6501,6242,259,0.0,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Pend Oreille,530512013,201353051,2013,53051,3007,2631,376,0.1,70,0.5,0.5,,,,,0.2,0.77
Pierce,530532013,201353053,2013,53053,115840,80300,35540,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
San Juan,530552013,201353055,2013,53055,4309,3265,1044,0.2,73,0.5,0.5,,,,,0.1,0.66
Skagit,530572013,201353057,2013,53057,23774,15951,7823,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.86
Skamania,530592013,201353059,2013,53059,1836,1541,295,0.2,71,0.5,0.5,,,,,0.2,0.76
Snohomish,530612013,201353061,2013,53061,93766,49344,44422,0.5,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.93
Spokane,530632013,201353063,2013,53063,80526,52082,28444,0.4,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.94
Stevens,530652013,201353065,2013,53065,9986,8351,1635,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.82
Thurston,530672013,201353067,2013,53067,42999,27721,15278,0.4,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.86
Wahkiakum,530692013,201353069,2013,53069,1181,892,289,0.2,72,0.5,0.5,,,,,0.1,0.82
Walla Walla,530712013,201353071,2013,53071,10570,9233,1337,0.1,74,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.93
Whatcom,530732013,201353073,2013,53073,34370,21452,12918,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Whitman,530752013,201353075,2013,53075,4800,4457,343,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.87
Yakima,530772013,201353077,2013,53077,35620,28053,7567,0.2,71,0.5,0.5,0.8,0.0,0.1,0.1,0.3,0.92
STATE TOTAL,.2014,201453000,2014,.,1077538,721426,356112,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012014,201453001,2014,53001,2193,1850,343,0.2,72,0.5,0.5,,,,,0.2,0.85
Asotin,530032014,201453003,2014,53003,5490,4580,910,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052014,201453005,2014,53005,27662,23533,4129,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.91
Chelan,530072014,201453007,2014,53007,14505,11485,3020,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.86
Clallam,530092014,201453009,2014,53009,21882,19874,2008,0.1,73,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.81
Clark,530112014,201453011,2014,53011,66937,28361,38576,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.97
Columbia,530132014,201453013,2014,53013,1138,1095,43,0.0,72,0.5,0.5,,,,,0.2,0.81
Cowlitz,530152014,201453015,2014,53015,22267,11485,10782,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.3,0.98
Douglas,530172014,201453017,2014,53017,6640,5318,1322,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.1,0.86
Ferry,530192014,201453019,2014,53019,1792,1707,85,0.0,70,0.5,0.5,,,,,0.2,0.74
Franklin,530212014,201453021,2014,53021,7895,6924,971,0.1,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.93
Garfield,530232014,201453023,2014,53023,,555,,,73,0.5,0.5,,,,,0.1,0.80
Grant,530252014,201453025,2014,53025,13393,11248,2145,0.2,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.86
Grays Harbor,530272014,201453027,2014,53027,16124,14793,1331,0.1,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.88
Island,530292014,201453029,2014,53029,18545,12967,5578,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.78
Jefferson,530312014,201453031,2014,53031,10118,9479,639,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.73
King,530332014,201453033,2014,53033,254574,157600,96974,0.4,73,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.93
Kitsap,530352014,201453035,2014,53035,42893,33298,9595,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.87
Kittitas,530372014,201453037,2014,53037,6680,6169,511,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
Klickitat,530392014,201453039,2014,53039,4981,4635,346,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.71
Lewis,530412014,201453041,2014,53041,17468,11898,5570,0.3,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.88
Lincoln,530432014,201453043,2014,53043,2632,2547,85,0.0,72,0.5,0.5,,,,,0.1,0.78
Mason,530452014,201453045,2014,53045,14196,11302,2894,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Okanogan,530472014,201453047,2014,53047,9106,8286,820,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.79
Pacific,530492014,201453049,2014,53049,6642,6414,228,0.0,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Pend Oreille,530512014,201453051,2014,53051,3162,2753,409,0.1,70,0.5,0.5,,,,,0.2,0.79
Pierce,530532014,201453053,2014,53053,120511,82590,37921,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
San Juan,530552014,201453055,2014,53055,4562,3434,1128,0.2,73,0.5,0.5,,,,,0.1,0.66
Skagit,530572014,201453057,2014,53057,24803,16750,8053,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.86
Skamania,530592014,201453059,2014,53059,1932,1613,319,0.2,71,0.5,0.5,,,,,0.2,0.77
Snohomish,530612014,201453061,2014,53061,97715,50268,47447,0.5,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.94
Spokane,530632014,201453063,2014,53063,83832,52990,30842,0.4,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.94
Stevens,530652014,201453065,2014,53065,10354,8810,1544,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.80
Thurston,530672014,201453067,2014,53067,45166,28719,16447,0.4,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.86
Wahkiakum,530692014,201453069,2014,53069,1249,939,310,0.2,71,0.5,0.5,,,,,0.1,0.84
Walla Walla,530712014,201453071,2014,53071,10848,9478,1370,0.1,73,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.95
Whatcom,530732014,201453073,2014,53073,35653,22188,13465,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Whitman,530752014,201453075,2014,53075,4892,4719,173,0.0,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.85
Yakima,530772014,201453077,2014,53077,36543,28772,7771,0.2,71,0.5,0.5,0.8,0.0,0.2,0.1,0.3,0.93
STATE TOTAL,.2015,201553000,2015,.,1120032,743922,376110,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012015,201553001,2015,53001,2204,1856,348,0.2,71,0.5,0.5,,,,,0.2,0.88
Asotin,530032015,201553003,2015,53003,5616,4659,957,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052015,201553005,2015,53005,28846,25153,3693,0.1,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.92
Chelan,530072015,201553007,2015,53007,14975,11637,3338,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.87
Clallam,530092015,201553009,2015,53009,22578,20747,1831,0.1,73,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.82
Clark,530112015,201553011,2015,53011,69942,28348,41594,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.97
Columbia,530132015,201553013,2015,53013,1145,1103,42,0.0,72,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.83
Cowlitz,530152015,201553015,2015,53015,23017,11712,11305,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.3,0.96
Douglas,530172015,201553017,2015,53017,6858,5389,1469,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.88
Ferry,530192015,201553019,2015,53019,1873,1787,86,0.0,70,0.5,0.5,,,,,0.2,0.80
Franklin,530212015,201553021,2015,53021,8398,7334,1064,0.1,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.93
Garfield,530232015,201553023,2015,53023,584,572,12,0.0,73,0.5,0.5,,,,,0.2,0.82
Grant,530252015,201553025,2015,53025,13712,11443,2269,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.87
Grays Harbor,530272015,201553027,2015,53027,16709,15316,1393,0.1,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.87
Island,530292015,201553029,2015,53029,19403,13637,5766,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.79
Jefferson,530312015,201553031,2015,53031,10611,9956,655,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.72
King,530332015,201553033,2015,53033,263184,160555,102629,0.4,73,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.92
Kitsap,530352015,201553035,2015,53035,44776,34936,9840,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.86
Kittitas,530372015,201553037,2015,53037,7058,6453,605,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
Klickitat,530392015,201553039,2015,53039,5169,4788,381,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.71
Lewis,530412015,201553041,2015,53041,18100,12232,5868,0.3,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.87
Lincoln,530432015,201553043,2015,53043,2676,2606,70,0.0,72,0.5,0.5,,,,,0.1,0.79
Mason,530452015,201553045,2015,53045,14734,11652,3082,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Okanogan,530472015,201553047,2015,53047,9360,8394,966,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.76
Pacific,530492015,201553049,2015,53049,6896,6593,303,0.0,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Pend Oreille,530512015,201553051,2015,53051,3275,2860,415,0.1,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.77
Pierce,530532015,201553053,2015,53053,125508,84875,40633,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
San Juan,530552015,201553055,2015,53055,4759,3598,1161,0.2,73,0.5,0.5,,,,,0.1,0.65
Skagit,530572015,201553057,2015,53057,25918,17540,8378,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.86
Skamania,530592015,201553059,2015,53059,2005,1669,336,0.2,71,0.5,0.5,,,,,0.2,0.77
Snohomish,530612015,201553061,2015,53061,101990,51458,50532,0.5,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.94
Spokane,530632015,201553063,2015,53063,87297,54464,32833,0.4,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.94
Stevens,530652015,201553065,2015,53065,10686,9271,1415,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.80
Thurston,530672015,201553067,2015,53067,47695,30221,17474,0.4,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.85
Wahkiakum,530692015,201553069,2015,53069,1277,919,358,0.3,72,0.5,0.5,,,,,0.1,0.86
Walla Walla,530712015,201553071,2015,53071,11091,9713,1378,0.1,73,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.94
Whatcom,530732015,201553073,2015,53073,37515,23340,14175,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Whitman,530752015,201553075,2015,53075,4982,4808,174,0.0,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.86
Yakima,530772015,201553077,2015,53077,37610,30328,7282,0.2,71,0.5,0.5,0.8,0.0,0.2,0.1,0.3,0.92
STATE TOTAL,.2016,201653000,2016,.,1158579,767555,391024,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Adams,530012016,201653001,2016,53001,2267,1935,332,0.1,71,0.5,0.5,,,,,0.2,0.84
Asotin,530032016,201653003,2016,53003,5760,4795,965,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.91
Benton,530052016,201653005,2016,53005,29874,26727,3147,0.1,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.93
Chelan,530072016,201653007,2016,53007,15439,11946,3493,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.85
Clallam,530092016,201653009,2016,53009,23468,22843,625,0.0,73,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.82
Clark,530112016,201653011,2016,53011,72946,28481,44465,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.96
Columbia,530132016,201653013,2016,53013,1191,1150,41,0.0,72,0.5,0.5,,,,,0.2,0.82
Cowlitz,530152016,201653015,2016,53015,23634,11620,12014,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.3,0.95
Douglas,530172016,201653017,2016,53017,7115,5550,1565,0.2,73,0.5,0.5,,,,,0.2,0.87
Ferry,530192016,201653019,2016,53019,1992,1931,61,0.0,70,0.5,0.5,,,,,0.2,0.77
Franklin,530212016,201653021,2016,53021,8697,7851,846,0.1,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.95
Garfield,530232016,201653023,2016,53023,598,583,15,0.0,72,0.5,0.5,,,,,0.2,0.83
Grant,530252016,201653025,2016,53025,14124,11960,2164,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.85
Grays Harbor,530272016,201653027,2016,53027,17372,16378,994,0.1,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.88
Island,530292016,201653029,2016,53029,20141,14318,5823,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.78
Jefferson,530312016,201653031,2016,53031,11133,10741,392,0.0,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.71
King,530332016,201653033,2016,53033,270038,161618,108420,0.4,73,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.93
Kitsap,530352016,201653035,2016,53035,46598,36606,9992,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.86
Kittitas,530372016,201653037,2016,53037,7435,6758,677,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.76
Klickitat,530392016,201653039,2016,53039,5431,5252,179,0.0,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.70
Lewis,530412016,201653041,2016,53041,18593,12660,5933,0.3,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.87
Lincoln,530432016,201653043,2016,53043,2770,2676,94,0.0,72,0.5,0.5,,,,,0.1,0.74
Mason,530452016,201653045,2016,53045,15281,12158,3123,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Okanogan,530472016,201653047,2016,53047,9516,8517,999,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.78
Pacific,530492016,201653049,2016,53049,7145,6833,312,0.0,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Pend Oreille,530512016,201653051,2016,53051,3425,3288,137,0.0,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.78
Pierce,530532016,201653053,2016,53053,129715,85940,43775,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.93
San Juan,530552016,201653055,2016,53055,5022,3964,1058,0.2,73,0.5,0.5,,,,,0.1,0.64
Skagit,530572016,201653057,2016,53057,26957,19333,7624,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.86
Skamania,530592016,201653059,2016,53059,2086,1766,320,0.2,71,0.5,0.5,,,,,0.2,0.74
Snohomish,530612016,201653061,2016,53061,105988,52959,53029,0.5,71,0.5,0.5,0.8,0.0,0.0,0.1,0.2,0.94
Spokane,530632016,201653063,2016,53063,90585,55846,34739,0.4,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.93
Stevens,530652016,201653065,2016,53065,11037,10460,577,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.80
Thurston,530672016,201653067,2016,53067,50076,31005,19071,0.4,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.83
Wahkiakum,530692016,201653069,2016,53069,1323,945,378,0.3,71,0.5,0.5,,,,,0.2,0.86
Walla Walla,530712016,201653071,2016,53071,11305,10059,1246,0.1,73,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.95
Whatcom,530732016,201653073,2016,53073,39115,24376,14739,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.88
Whitman,530752016,201653075,2016,53075,5061,4876,185,0.0,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.85
Yakima,530772016,201653077,2016,53077,38326,30851,7475,0.2,71,0.5,0.5,0.8,0.0,0.2,0.1,0.3,0.92
STATE TOTAL,.2017,201753000,2017,.,1196540,783498,413042,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012017,201753001,2017,53001,2333,1998,335,0.1,71,0.5,0.5,,,,,0.2,0.89
Asotin,530032017,201753003,2017,53003,5902,4926,976,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.95
Benton,530052017,201753005,2017,53005,31164,30403,761,0.0,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.94
Chelan,530072017,201753007,2017,53007,15913,12118,3795,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.89
Clallam,530092017,201753009,2017,53009,24372,23594,778,0.0,73,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.83
Clark,530112017,201753011,2017,53011,76150,28596,47554,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.97
Columbia,530132017,201753013,2017,53013,1198,1158,40,0.0,72,0.5,0.5,,,,,0.2,0.84
Cowlitz,530152017,201753015,2017,53015,24187,11413,12774,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.3,0.95
Douglas,530172017,201753017,2017,53017,7271,5641,1630,0.2,73,0.5,0.5,,,,,0.2,0.93
Ferry,530192017,201753019,2017,53019,2059,2012,47,0.0,70,0.5,0.5,,,,,0.2,0.78
Franklin,530212017,201753021,2017,53021,9063,8853,210,0.0,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.97
Garfield,530232017,201753023,2017,53023,612,595,17,0.0,72,0.5,0.5,,,,,0.2,0.87
Grant,530252017,201753025,2017,53025,14558,12196,2362,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.93
Grays Harbor,530272017,201753027,2017,53027,18090,17038,1052,0.1,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Island,530292017,201753029,2017,53029,20970,15082,5888,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.78
Jefferson,530312017,201753031,2017,53031,11700,11263,437,0.0,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.73
King,530332017,201753033,2017,53033,276258,160731,115527,0.4,73,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.93
Kitsap,530352017,201753035,2017,53035,48336,38069,10267,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.85
Kittitas,530372017,201753037,2017,53037,7749,7113,636,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.78
Klickitat,530392017,201753039,2017,53039,5574,5387,187,0.0,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.74
Lewis,530412017,201753041,2017,53041,19115,12702,6413,0.3,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.89
Lincoln,530432017,201753043,2017,53043,2827,2730,97,0.0,72,0.5,0.5,,,,,0.1,0.76
Mason,530452017,201753045,2017,53045,15734,12356,3378,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.83
Okanogan,530472017,201753047,2017,53047,9738,8597,1141,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.83
Pacific,530492017,201753049,2017,53049,7429,7075,354,0.0,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.83
Pend Oreille,530512017,201753051,2017,53051,3568,3426,142,0.0,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.79
Pierce,530532017,201753053,2017,53053,133743,86522,47221,0.4,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
San Juan,530552017,201753055,2017,53055,5289,4156,1133,0.2,73,0.5,0.5,,,,,0.1,0.66
Skagit,530572017,201753057,2017,53057,27940,20218,7722,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.85
Skamania,530592017,201753059,2017,53059,2142,1947,195,0.1,71,0.5,0.5,,,,,0.2,0.79
Snohomish,530612017,201753061,2017,53061,109890,53638,56252,0.5,71,0.5,0.5,0.8,0.0,0.0,0.1,0.2,0.95
Spokane,530632017,201753063,2017,53063,93856,56294,37562,0.4,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.93
Stevens,530652017,201753065,2017,53065,11415,10748,667,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.81
Thurston,530672017,201753067,2017,53067,52483,31939,20544,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.85
Wahkiakum,530692017,201753069,2017,53069,1352,946,406,0.3,71,0.5,0.5,,,,,0.2,0.83
